Particle_ID,Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
1,21.675000000003507,3.226125377454926e-06,2.3511812603933e-06,4.1102251932388474e-08,1.953447932267712e-05,-6.044883295273306e-06,-3.6793252390528065e-05
1,21.67700000000351,3.2332339983986134e-06,2.2873851266481292e-06,7.02539839370824e-08,7.108620943687174e-06,-6.379613374517108e-05,2.9151732004693933e-05
1,21.679000000003512,3.2980642387301677e-06,2.2189088678887054e-06,1.0837106186170215e-07,6.48302403315545e-05,-6.847625875942366e-05,3.8117077924619754e-05
1,21.681000000003515,3.242288292715759e-06,2.17505012806248e-06,6.688926969124024e-08,-5.5775946014408554e-05,-4.3858739826225286e-05,-4.1481792170461916e-05
1,21.683000000003517,3.2141804165743635e-06,2.193928409692629e-06,7.259798111535988e-08,-2.8107876141395532e-05,1.8878281630148555e-05,5.708711424119641e-06
1,21.68500000000352,3.249075281300664e-06,2.1461507178012387e-06,8.79760086804105e-08,3.4894864726300515e-05,-4.7777691891390115e-05,1.537802756505062e-05
1,21.687000000003522,3.2778745497916445e-06,2.173026095488343e-06,5.4672976686695204e-08,2.8799268490980588e-05,2.687537768710425e-05,-3.330303199371529e-05
1,21.689000000003524,3.2429988489950174e-06,2.209852517914714e-06,7.743120597483114e-08,-3.4875700796627225e-05,3.6826422426371283e-05,2.2758229288135927e-05
1,21.691000000003527,3.242558552883685e-06,2.232315760044856e-06,9.071019469517181e-08,-4.4029611133252885e-07,2.2463242130142042e-05,1.327898872034068e-05
1,21.69300000000353,3.246371636690683e-06,2.2611413502468306e-06,5.7142148401176394e-08,3.8130838069979402e-06,2.8825590201974644e-05,-3.356804629399541e-05
1,21.69500000000353,3.3008046042572735e-06,2.306099315565841e-06,1.2018649359442208e-07,5.4432967566590776e-05,4.495796531901012e-05,6.304434519324568e-05
1,21.697000000003534,3.3223838167425403e-06,2.29498031323858e-06,1.257701779971169e-07,2.1579212485266803e-05,-1.1119002327260873e-05,5.583684402694813e-06
1,21.699000000003537,3.31565782796648e-06,2.268082019540758e-06,1.1603427624154688e-07,-6.72598877606013e-06,-2.68982936978221e-05,-9.735901755570015e-06
1,21.70100000000354,3.2857714271712867e-06,2.3008423379075333e-06,9.768208378805761e-08,-2.9886400795193354e-05,3.27603183667754e-05,-1.8352192453489265e-05
1,21.70300000000354,3.301989956879659e-06,2.300756724129707e-06,1.1116346222944527e-07,1.621852970837227e-05,-8.561377782618278e-08,1.3481378441387657e-05
1,21.705000000003544,3.3287037571152083e-06,2.296780267080468e-06,9.836458368304882e-08,2.6713800235549558e-05,-3.9764570492393795e-06,-1.2798878546396452e-05
1,21.707000000003546,3.3143375471183408e-06,2.280208326094676e-06,6.9424923762509e-08,-1.436620999686767e-05,-1.6571940985791875e-05,-2.8939659920539823e-05
1,21.70900000000355,3.2937077430349652e-06,2.2941960088643953e-06,1.0680771289373742e-07,-2.0629804083375687e-05,1.3987682769719297e-05,3.738278913122841e-05
1,21.71100000000355,3.3544386290460975e-06,2.2656058826451354e-06,1.1458078370703974e-07,6.0730886011132174e-05,-2.8590126219259907e-05,7.773070813302318e-06
1,21.713000000003554,3.3267659870685585e-06,2.262535254441739e-06,9.3655164739976e-08,-2.767264197753892e-05,-3.070628203396345e-06,-2.0925618967063734e-05
1,21.715000000003556,3.2947921256360814e-06,2.2178535662766802e-06,3.044941148555717e-08,-3.19738614324771e-05,-4.468168816505839e-05,-6.320575325441883e-05
1,21.71700000000356,3.2678152472680044e-06,2.2311195657177493e-06,6.614984752842203e-08,-2.6976878368077018e-05,1.3265999441069109e-05,3.570043604286486e-05
1,21.71900000000356,3.219432279667637e-06,2.2797195029068265e-06,7.537435670898991e-08,-4.838296760036766e-05,4.859993718907732e-05,9.224509180567886e-06
1,21.721000000003563,3.244791712848312e-06,2.2582787498035665e-06,9.676860631525428e-08,2.5359433180675106e-05,-2.1440753103259904e-05,2.1394249606264364e-05
1,21.723000000003566,3.191106968904848e-06,2.251691307549056e-06,6.406162838282171e-08,-5.3684743943463774e-05,-6.5874422545107465e-06,-3.270697793243256e-05
