Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
38.02800000000207,4.7662704291921475e-06,-8.385522241922275e-07,9.928179052249653e-07,3.655210135086878e-05,8.922669673214241e-06,-3.2245395402131644e-05
38.03000000000207,4.770031781469056e-06,-8.130432554843875e-07,9.217651726662199e-07,3.7613522769088534e-06,2.5508968707839903e-05,-7.105273255874543e-05
38.032000000002064,4.750771372455592e-06,-7.785681625448589e-07,9.774747682716582e-07,-1.9260409013464433e-05,3.447509293952863e-05,5.5709595605438394e-05
38.03400000000206,4.713465191644926e-06,-8.461099112125183e-07,1.0186004076164957e-06,-3.730618081066572e-05,-6.754174866765941e-05,4.112563934483758e-05
38.036000000002055,4.71891161866382e-06,-8.191839768667572e-07,1.0265154615092007e-06,5.446427018894199e-06,2.6925934345761155e-05,7.915053892705014e-06
38.03800000000205,4.677535699697907e-06,-7.850181574224735e-07,1.0831546505198752e-06,-4.1375918965912314e-05,3.4165819444283766e-05,5.663918901067452e-05
38.040000000002046,4.6263439660955094e-06,-7.725334271500291e-07,1.0464693339411827e-06,-5.1191733602397564e-05,1.2484730272444391e-05,-3.6685316578692553e-05
38.04200000000204,4.660488766231984e-06,-7.698121120610209e-07,1.0127113402328037e-06,3.414480013647491e-05,2.7213150890081693e-06,-3.375799370837901e-05
38.044000000002036,4.611553692377569e-06,-7.924477265908996e-07,1.005490315687533e-06,-4.893507385441502e-05,-2.2635614529878742e-05,-7.221024545270727e-06
38.04600000000203,4.602159373688239e-06,-8.280913371458795e-07,1.0162020166283955e-06,-9.394318689329976e-06,-3.564361055497986e-05,1.0711700940862672e-05
38.04800000000203,4.629590107659848e-06,-8.120940441391076e-07,1.036381536063339e-06,2.7430733971609127e-05,1.599729300677187e-05,2.0179519434943518e-05
38.05000000000202,4.653967197297384e-06,-8.316139549548501e-07,1.0335627899760887e-06,2.4377089637535462e-05,-1.9519910815742513e-05,-2.8187460872502536e-06
38.05200000000202,4.684663120692764e-06,-8.427670655467088e-07,1.025541756531313e-06,3.069592339537974e-05,-1.1153110591858669e-05,-8.021033444775613e-06
38.05400000000201,4.696382918614047e-06,-8.172818967327544e-07,1.0520454309614208e-06,1.1719797921282559e-05,2.5485168813954397e-05,2.650367443010766e-05
38.05600000000201,4.72752277778073e-06,-8.886119140735693e-07,1.0896613121759175e-06,3.113985916668247e-05,-7.133001734081496e-05,3.761588121449677e-05
38.058000000002004,4.695313701009193e-06,-9.278986303283483e-07,1.0981253208921407e-06,-3.220907677153678e-05,-3.9286716254779e-05,8.464008716223244e-06
38.060000000002,4.707582554124565e-06,-9.071294485305521e-07,1.1154392362223963e-06,1.2268853115372032e-05,2.0769181797796317e-05,1.731391533025562e-05
38.062000000001994,4.67971897200221e-06,-9.034670349444424e-07,1.118121458144449e-06,-2.7863582122355382e-05,3.6624135861096105e-06,2.682221922052748e-06
