Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
0.0086450000000001,2.9412871615479935e-06,-3.3699308425139527e-07,1.6944735643598476e-07,-0.0005834884676071176,-0.00017009480391892915,0.0002355895343860386
0.008647000000000099,2.9396596910992536e-06,-3.3559360607993085e-07,1.7017932930786898e-07,-0.0016274704487398942,0.0013994781714643907,0.0007319728718842188
0.008649000000000098,2.9397665973675908e-06,-3.350319828452095e-07,1.7094791796756816e-07,0.00010690626833731867,0.0005616232347213393,0.0007685886596991747
0.008651000000000096,2.9380745820083333e-06,-3.3521271793247883e-07,1.7169000189926402e-07,-0.001692015359257526,-0.00018073508726932004,0.0007420839316958416
0.008653000000000095,2.9375510695086123e-06,-3.345947585608903e-07,1.7216791893875974e-07,-0.000523512499721174,0.0006179593715885121,0.0004779170394957315
0.008655000000000093,2.9370687714236453e-06,-3.3479210300858897e-07,1.7206910530429644e-07,-0.0004822980849667103,-0.00019734444769866304,-9.881363446329746e-05
0.008657000000000092,2.9376587599907434e-06,-3.343944918415741e-07,1.7012942544066715e-07,0.0005899885670981303,0.0003976111670148678,-0.0019396798636292887
0.00865900000000009,2.937475599731914e-06,-3.3404598283237985e-07,1.699983109910806e-07,-0.0001831602588294303,0.0003485090091942216,-0.00013111444958654108
0.008661000000000089,2.9379533890277643e-06,-3.346672862352394e-07,1.7093509198729054e-07,0.00047778929585050073,-0.0006213034028595334,0.0009367809962099368
0.008663000000000087,2.9377412863424854e-06,-3.35195944828881e-07,1.7194475740834385e-07,-0.00021210268527911737,-0.0005286585936416369,0.0010096654210533086
0.008665000000000086,2.9361205776665626e-06,-3.3450809824728564e-07,1.739970055854546e-07,-0.001620708675922656,0.0006878465815953652,0.002052248177110752
0.008667000000000084,2.9347613923184094e-06,-3.3394215510047565e-07,1.7672923672603744e-07,-0.0013591853481531187,0.0005659431468100102,0.002732231140582857
0.008669000000000083,2.9345609627634053e-06,-3.344123482331366e-07,1.742366034708854e-07,-0.00020042955500392277,-0.00047019313266093854,-0.002492633255152042
0.008671000000000081,2.9337384232956964e-06,-3.345969475234179e-07,1.749055044683963e-07,-0.0008225394677088008,-0.00018459929028132017,0.0006689009975108925
0.00867300000000008,2.9336755375151384e-06,-3.367158955699043e-07,1.7630073385801097e-07,-6.288578055781658e-05,-0.0021189480464864174,0.0013952293896146687
0.008675000000000078,2.931662869100912e-06,-3.370113742171578e-07,1.7614689914723045e-07,-0.002012668414226754,-0.0002954786472534747,-0.00015383471078052877
0.008677000000000077,2.9304677555885483e-06,-3.3514058454854025e-07,1.778223324691074e-07,-0.0011951135123633532,0.0018707896686175414,0.0016754333218769349
0.008679000000000076,2.9313796332027697e-06,-3.3390450721342306e-07,1.7888349762671036e-07,0.0009118776142214936,0.0012360773351172108,0.001061165157602965
0.008681000000000074,2.933618276784647e-06,-3.347390338810863e-07,1.795892133143287e-07,0.00223864358187717,-0.0008345266676632454,0.0007057156876183344
0.008683000000000073,2.9347545468101653e-06,-3.336711075955275e-07,1.8068216063638885e-07,0.0011362700255184155,0.0010679262855587616,0.00109294732206016
0.008685000000000071,2.9323433046332412e-06,-3.340549233068446e-07,1.806433602606492e-07,-0.0024112421769242544,-0.00038381571131707737,-3.880037573965027e-05
0.00868700000000007,2.932550316033238e-06,-3.348519003920753e-07,1.820724514416524e-07,0.00020701139999675078,-0.0007969770852307485,0.0014290911810031697
