Particle_ID,Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s)
2,4.139999999999717,3.830428330206847e-06,1.184402714091773e-06,-6.131478129396376e-07,7.547530385628724e-06,-2.111905674612549e-05,-5.829518536229372e-06
2,4.141999999999718,3.7450106397065566e-06,1.2464060586704209e-06,-6.248818394490858e-07,-8.541769050029015e-05,6.200334457864777e-05,-1.173402650944821e-05
2,4.143999999999719,3.7094988516636723e-06,1.2626722998963885e-06,-5.751961216903521e-07,-3.5511788042884175e-05,1.6266241225967576e-05,4.968571775873371e-05
2,4.145999999999719,3.731811462044543e-06,1.2802982429739736e-06,-5.906310152306526e-07,2.231261038087072e-05,1.7625943077585132e-05,-1.5434893540300516e-05
2,4.14799999999972,3.6789683000663304e-06,1.2720405591384843e-06,-5.938451349520035e-07,-5.284316197821285e-05,-8.257683835489302e-06,-3.2141197213508785e-06
2,4.149999999999721,3.6702757855531167e-06,1.2590472588109532e-06,-6.17670536488087e-07,-8.69251451321354e-06,-1.2993300327531183e-05,-2.382540153608359e-05
2,4.151999999999721,3.6209750309525283e-06,1.3191162461556769e-06,-5.836906720955783e-07,-4.930075460058821e-05,6.00689873447236e-05,3.397986439250872e-05
2,4.153999999999722,3.597582466228389e-06,1.2338667397506485e-06,-5.32163583033586e-07,-2.3392564724139385e-05,-8.524950640502845e-05,5.1527089061992315e-05
2,4.155999999999723,3.596975312541973e-06,1.2446009104804342e-06,-5.118502513242007e-07,-6.071536864161812e-07,1.0734170729785585e-05,2.0313331709385315e-05
2,4.157999999999723,3.589433730292698e-06,1.2180783095205572e-06,-5.199507100426366e-07,-7.5415822492754265e-06,-2.652260095987688e-05,-8.1004587184359e-06
2,4.159999999999724,3.567957912218986e-06,1.2225755687608768e-06,-4.936230965705808e-07,-2.1475818073711576e-05,4.497259240319645e-06,2.632761347205577e-05
2,4.161999999999725,3.587608108876935e-06,1.2508980332554778e-06,-5.186408591780587e-07,1.9650196657948708e-05,2.8322464494600878e-05,-2.5017762607477856e-05
2,4.163999999999725,3.6143333518112414e-06,1.2303375656677452e-06,-5.378023398927361e-07,2.6725242934306334e-05,-2.05604675877325e-05,-1.9161480714677407e-05
2,4.165999999999726,3.6222242431749955e-06,1.1793845753749073e-06,-4.7012208172062006e-07,7.890891363754021e-06,-5.095299029283793e-05,6.768025817211603e-05
2,4.167999999999727,3.6657356507367436e-06,1.1766771282877205e-06,-4.923116147600972e-07,4.351140756174829e-05,-2.7074470871867758e-06,-2.2189533039477165e-05
2,4.169999999999727,3.6382869606398903e-06,1.1660154085589813e-06,-4.915727012737038e-07,-2.744869009685323e-05,-1.0661719728739289e-05,7.389134863934341e-07
2,4.171999999999728,3.650364308271005e-06,1.149496429954411e-06,-4.855310380465883e-07,1.2077347631114822e-05,-1.6518978604570395e-05,6.041663227115568e-06
2,4.173999999999729,3.644749723315767e-06,1.1640424579095668e-06,-4.7664097410540547e-07,-5.614584955238182e-06,1.4546027955155957e-05,8.890063941182818e-06
2,4.175999999999729,3.609402365055248e-06,1.1219507781953368e-06,-4.749889846260899e-07,-3.534735826051948e-05,-4.2091679714230024e-05,1.6519894793155533e-06
2,4.17799999999973,3.598781283096246e-06,1.1133907494254697e-06,-4.591926973658093e-07,-1.0621081959001745e-05,-8.560028769866937e-06,1.579628726028061e-05
2,4.179999999999731,3.6190248397852046e-06,1.0801985479634273e-06,-4.941273037647221e-07,2.024355668895875e-05,-3.319220146204237e-05,-3.49346063989128e-05
2,4.181999999999731,3.6599717727115134e-06,1.1111264257178433e-06,-5.119295572772715e-07,4.094693292630858e-05,3.092787775441613e-05,-1.780225351254933e-05
2,4.183999999999732,3.6048040348715683e-06,1.0662116652527545e-06,-5.254915934115724e-07,-5.516773783994515e-05,-4.491476046508877e-05,-1.3562036134300974e-05
2,4.185999999999733,3.662846251279112e-06,1.100339935914418e-06,-5.198640086266721e-07,5.804221640754368e-05,3.412827066166342e-05,5.627584784900368e-06
2,4.187999999999733,3.703086822524172e-06,1.0923186071778078e-06,-5.08819131536396e-07,4.024057124506008e-05,-8.021328736610141e-06,1.1044877090276108e-05
2,4.189999999999734,3.678208889040774e-06,1.065861931418901e-06,-4.919492482911435e-07,-2.487793348339773e-05,-2.6456675758906655e-05,1.686988324525254e-05
2,4.191999999999735,3.695598343505791e-06,1.090033883135137e-06,-4.6390867622921796e-07,1.7389454465016905e-05,2.4171951716235957e-05,2.80405720619255e-05
2,4.193999999999735,3.7135771269733973e-06,1.1224844508731203e-06,-4.4984077306799907e-07,1.7978783467606027e-05,3.245056773798326e-05,1.4067903161218875e-05
2,4.195999999999736,3.738268089877159e-06,1.1568673869527115e-06,-4.693453372304363e-07,2.4690962903761743e-05,3.438293607959126e-05,-1.95045641624372e-05
2,4.197999999999737,3.7259901159440324e-06,1.1289813307327413e-06,-5.1333774271215e-07,-1.2277973933126578e-05,-2.788605621997015e-05,-4.399240548171368e-05
2,4.199999999999737,3.7615927047722733e-06,1.1047343194784225e-06,-5.154919521635731e-07,3.560258882824093e-05,-2.4247011254318695e-05,-2.1542094514231257e-06
2,4.201999999999738,3.7265883100745272e-06,1.0340275468496545e-06,-5.22111495676775e-07,-3.5004394697746104e-05,-7.070677262876806e-05,-6.619543513201918e-06
2,4.203999999999739,3.7256811397683902e-06,1.0355543737566972e-06,-5.213051960873688e-07,-9.07170306137112e-07,1.5268269070427936e-06,8.062995894061747e-07
2,4.205999999999739,3.759687218158473e-06,1.0343909996975696e-06,-6.028406870974653e-07,3.400607839008261e-05,-1.1633740591275358e-06,-8.153549101009654e-05
